nome,ano,genero,generos_full,plataforma,plataformas_full,publisher,developer,nota,faixa_etaria,descricao,popularidade,playtime,tamanho_jogo,ratings_count,suggestions_count,engajamento_bruto,palavras_chave
Iron Sky: Invasion,2012,Action,Action||Strategy||Simulation,PC,PC||macOS||Linux,TopWare Interactive,Reality Pump,1.8,N/A,Iron Sky: Invasion é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 1.8/5 na base RAWG.,0.0498,5,curto,11,413,843.0,iron sky: invasion action||strategy||simulation pc||macos||linux topware interactive reality pump
Zombies Monsters Robots,2014,Action,Action||Shooter,PC,PC,En Masse Entertainment,Yingpei Games,2.1,N/A,Zombies Monsters Robots é um jogo de Action lançado em 2014 para PC. Ele possui nota média aproximada de 2.1/5 na base RAWG.,0.0498,1,curto,9,689,843.0,zombies monsters robots action||shooter pc en masse entertainment yingpei games
Strike Vector,2014,Action,Action||Indie,PC,PC,Ragequit,Ragequit,3.2,N/A,Strike Vector é um jogo de Action lançado em 2014 para PC. Ele possui nota média aproximada de 3.2/5 na base RAWG.,0.0498,3,curto,15,562,843.0,strike vector action||indie pc ragequit ragequit
Rollers of the Realm,2014,Action,Action||Adventure||RPG||Arcade||Casual||Indie,PC,PC||PlayStation 4||PS Vita,Atlus USA,Atlus U.S.A,2.9,+13,Rollers of the Realm é um jogo de Action lançado em 2014 para PC. Ele possui nota média aproximada de 2.9/5 na base RAWG.,0.0498,4,curto,17,451,844.0,rollers of the realm action||adventure||rpg||arcade||casual||indie pc||playstation 4||ps vita atlus usa atlus u.s.a
Global Adventures,0,Action,Action||Adventure||RPG||Massively Multiplayer,PC,PC,SubaGames,PixelSoft,1.9,N/A,Global Adventures é um jogo de Action para PC. Ele possui nota média aproximada de 1.9/5 na base RAWG.,0.0498,1,curto,12,621,844.0,global adventures action||adventure||rpg||massively multiplayer pc subagames pixelsoft
Godfall,2020,Action,Action||RPG,PlayStation 5,PlayStation 5||PC,Gearbox Publishing,Counterplay Games,3.3,N/A,Godfall é um jogo de Action lançado em 2020 para PlayStation 5. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.0498,0,curto,7,712,843.0,godfall action||rpg playstation 5||pc gearbox publishing counterplay games
DRAGON QUEST HEROES: The World Tree's Woe and the Blight Below,2015,RPG,RPG,PC,PC||PlayStation 3||PlayStation 4,Square Enix,Square Enix,3.8,+13,DRAGON QUEST HEROES: The World Tree's Woe and the Blight Below é um jogo de RPG lançado em 2015 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.0498,0,curto,47,574,844.0,dragon quest heroes: the world tree's woe and the blight below rpg pc||playstation 3||playstation 4 square enix square enix
Hero-U: Rogue to Redemption,2018,Adventure,Adventure||RPG||Simulation,Linux,Linux||PC||macOS,Transolar Games,cidney,0.0,N/A,Hero-U: Rogue to Redemption é um jogo de Adventure lançado em 2018 para Linux.,0.0498,7,medio,2,817,844.0,hero-u: rogue to redemption adventure||rpg||simulation linux||pc||macos transolar games cidney
Sonic & Knuckles,1994,Platformer,Platformer,Genesis,Genesis||PlayStation 3||Xbox||PlayStation 2||PC||GameCube||SEGA Saturn||Xbox 360||Wii,SEGA,SEGA,4.3,LIVRE,Sonic & Knuckles é um jogo de Platformer lançado em 1994 para Genesis. Ele possui nota média aproximada de 4.3/5 na base RAWG.,0.0498,3,curto,127,405,843.0,sonic & knuckles platformer genesis||playstation 3||xbox||playstation 2||pc||gamecube||sega saturn||xbox 360||wii sega sega
The Beast Inside,2019,Action,Action||Adventure||Indie,PC,PC,PlayWay,Illusion Ray Studio,3.8,N/A,The Beast Inside é um jogo de Action lançado em 2019 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.0497,4,curto,28,491,841.0,the beast inside action||adventure||indie pc playway illusion ray studio
Impire,2013,Strategy,Strategy,PC,PC,Paradox Interactive,Cyanide Montreal,1.9,N/A,Impire é um jogo de Strategy lançado em 2013 para PC. Ele possui nota média aproximada de 1.9/5 na base RAWG.,0.0497,2,curto,11,624,842.0,impire strategy pc paradox interactive cyanide montreal
Just Dance 2017,2016,Casual,Casual||Family,PC,PC||Wii U||Xbox One||Xbox 360||Nintendo Switch||PlayStation 3||PlayStation 4,Ubisoft Entertainment,Ubisoft,3.9,+10,Just Dance 2017 é um jogo de Casual lançado em 2016 para PC. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.0497,7,medio,82,478,841.5,just dance 2017 casual||family pc||wii u||xbox one||xbox 360||nintendo switch||playstation 3||playstation 4 ubisoft entertainment ubisoft
Starseed Pilgrim,2013,Adventure,Adventure||Indie,PC,PC||macOS,Droqen's Games,Droqen,2.5,N/A,Starseed Pilgrim é um jogo de Adventure lançado em 2013 para PC. Ele possui nota média aproximada de 2.5/5 na base RAWG.,0.0497,1,curto,31,41,841.0,starseed pilgrim adventure||indie pc||macos droqen's games droqen
Clive Barker's Undying,2001,Action,Action||Shooter,PC,PC,Electronic Arts,DreamWorks Interactive,4.2,+18,Clive Barker's Undying é um jogo de Action lançado em 2001 para PC. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.0497,1,curto,63,572,842.0,clive barker's undying action||shooter pc electronic arts dreamworks interactive
Life is Feudal: Your Own,2015,Action,Action||RPG||Simulation||Indie,PC,PC,Bitbox,Bitbox,2.7,N/A,Life is Feudal: Your Own é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 2.7/5 na base RAWG.,0.0497,8,medio,36,481,841.5,life is feudal: your own action||rpg||simulation||indie pc bitbox bitbox
World of Warcraft: Warlords of Draenor,2014,RPG,RPG||Massively Multiplayer,PC,PC||macOS,Blizzard Entertainment,,3.6,+13,World of Warcraft: Warlords of Draenor é um jogo de RPG lançado em 2014 para PC. Ele possui nota média aproximada de 3.6/5 na base RAWG.,0.0497,0,curto,75,639,842.0,world of warcraft: warlords of draenor rpg||massively multiplayer pc||macos blizzard entertainment
The Deer God,2015,Adventure,Adventure||Simulation||Indie,PC,PC||macOS||iOS||Android||Linux||PlayStation 4||Xbox One||Wii U||PS Vita||Nintendo Switch,Crescent Moon Games,Crescent Moon Games,2.6,+10,The Deer God é um jogo de Adventure lançado em 2015 para PC. Ele possui nota média aproximada de 2.6/5 na base RAWG.,0.0496,6,medio,32,483,839.5,the deer god adventure||simulation||indie pc||macos||ios||android||linux||playstation 4||xbox one||wii u||ps vita||nintendo switch crescent moon games crescent moon games
World of Warcraft: Mists of Pandaria,2012,RPG,RPG||Massively Multiplayer,PC,PC||macOS,Blizzard Entertainment,,4.0,+13,World of Warcraft: Mists of Pandaria é um jogo de RPG lançado em 2012 para PC. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.0496,0,curto,99,605,840.5,world of warcraft: mists of pandaria rpg||massively multiplayer pc||macos blizzard entertainment
The Lord of the Rings: The Battle for Middle-earth 2,2006,Strategy,Strategy,PC,PC||Xbox 360,Electronic Arts,Electronic Arts Los Angeles,4.4,N/A,The Lord of the Rings: The Battle for Middle-earth 2 é um jogo de Strategy lançado em 2006 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.0496,0,curto,82,641,840.0,the lord of the rings: the battle for middle-earth 2 strategy pc||xbox 360 electronic arts electronic arts los angeles
Shoppe Keep 2,0,Adventure,Adventure||RPG||Strategy||Simulation||Indie,PC,PC,Excalibur Games,Strange Fire,2.1,N/A,Shoppe Keep 2 é um jogo de Adventure para PC. Ele possui nota média aproximada de 2.1/5 na base RAWG.,0.0496,3,curto,9,469,840.5,shoppe keep 2 adventure||rpg||strategy||simulation||indie pc excalibur games strange fire
Super Cloudbuilt,2017,Action,Action||Adventure||Indie,PC,PC||PlayStation 4||Xbox One,Double Eleven,Double Eleven,3.4,N/A,Super Cloudbuilt é um jogo de Action lançado em 2017 para PC. Ele possui nota média aproximada de 3.4/5 na base RAWG.,0.0496,2,curto,10,623,840.0,super cloudbuilt action||adventure||indie pc||playstation 4||xbox one double eleven double eleven
Legends of Persia,2014,Action,Action||Adventure||RPG||Indie,PC,PC,Plug In Digital,Sourena Game Studio,0.0,N/A,Legends of Persia é um jogo de Action lançado em 2014 para PC.,0.0496,1,curto,5,643,840.0,legends of persia action||adventure||rpg||indie pc plug in digital sourena game studio
Decay: The Mare,2015,Adventure,Adventure||Indie||Puzzle,macOS,macOS||iOS||Linux||PC||Xbox One,Daedalic Entertainment,Daedalic Entertainment,2.8,N/A,Decay: The Mare é um jogo de Adventure lançado em 2015 para macOS. Ele possui nota média aproximada de 2.8/5 na base RAWG.,0.0496,4,curto,22,343,840.0,decay: the mare adventure||indie||puzzle macos||ios||linux||pc||xbox one daedalic entertainment daedalic entertainment
Eaten Alive,2015,Indie,Indie,PC,PC,Back To Basics Gaming,Space Cat Studios,1.8,N/A,Eaten Alive é um jogo de Indie lançado em 2015 para PC. Ele possui nota média aproximada de 1.8/5 na base RAWG.,0.0496,4,curto,20,236,840.5,eaten alive indie pc back to basics gaming space cat studios
Watchmen: The End is Nigh Part 2,2009,Action,Action,PC,PC||PlayStation 3,Warner Bros. Interactive,Warner Bros. Interactive,3.2,+17,Watchmen: The End is Nigh Part 2 é um jogo de Action lançado em 2009 para PC. Ele possui nota média aproximada de 3.2/5 na base RAWG.,0.0496,2,curto,24,647,840.5,watchmen: the end is nigh part 2 action pc||playstation 3 warner bros. interactive warner bros. interactive
BLACKHOLE,2015,Action,Action||Adventure||Indie||Puzzle||Platformer,macOS,macOS||Linux||PC,1C Company,FiolaSoft Studio,2.2,N/A,BLACKHOLE é um jogo de Action lançado em 2015 para macOS. Ele possui nota média aproximada de 2.2/5 na base RAWG.,0.0496,3,curto,17,476,839.5,blackhole action||adventure||indie||puzzle||platformer macos||linux||pc 1c company fiolasoft studio
Expeditions: Conquistador,2013,RPG,RPG||Strategy||Indie,PC,PC||macOS||Linux,Logic Artists,Logic Artists,3.2,N/A,Expeditions: Conquistador é um jogo de RPG lançado em 2013 para PC. Ele possui nota média aproximada de 3.2/5 na base RAWG.,0.0496,3,curto,28,379,840.5,expeditions: conquistador rpg||strategy||indie pc||macos||linux logic artists logic artists
Modern Combat 5,2014,Action,Action||Adventure||Massively Multiplayer,iOS,iOS||PC||Android,Gameloft,Gameloft,2.2,+17,Modern Combat 5 é um jogo de Action lançado em 2014 para iOS. Ele possui nota média aproximada de 2.2/5 na base RAWG.,0.0496,1,curto,52,518,840.5,modern combat 5 action||adventure||massively multiplayer ios||pc||android gameloft gameloft
Adam's Venture Chronicles,2015,Adventure,Adventure||Indie,PC,PC||PlayStation 3,SOEDESCO Publishing,SOEDESCO Publishing,2.8,N/A,Adam's Venture Chronicles é um jogo de Adventure lançado em 2015 para PC. Ele possui nota média aproximada de 2.8/5 na base RAWG.,0.0495,4,curto,11,644,838.0,adam's venture chronicles adventure||indie pc||playstation 3 soedesco publishing soedesco publishing
CS2D,2004,Action,Action||Casual||Indie,PC,PC||macOS||Linux,Unreal Software,Unreal Software,3.0,N/A,CS2D é um jogo de Action lançado em 2004 para PC. Ele possui nota média aproximada de 3.0/5 na base RAWG.,0.0495,1,curto,57,309,838.5,cs2d action||casual||indie pc||macos||linux unreal software unreal software
Draw a Stickman: EPIC,2012,Adventure,Adventure||RPG||Casual||Educational||Family||Indie,PC,PC||iOS||Xbox One||Android,Hitcents.com,Hitcents.com,2.7,N/A,Draw a Stickman: EPIC é um jogo de Adventure lançado em 2012 para PC. Ele possui nota média aproximada de 2.7/5 na base RAWG.,0.0495,2,curto,42,209,838.5,draw a stickman: epic adventure||rpg||casual||educational||family||indie pc||ios||xbox one||android hitcents.com hitcents.com
Karateka,2012,Action,Action||Family||Fighting||Indie,PC,PC||iOS||Android||PlayStation 3||Xbox 360,DotEmu,DotEmu,3.1,N/A,Karateka é um jogo de Action lançado em 2012 para PC. Ele possui nota média aproximada de 3.1/5 na base RAWG.,0.0495,1,curto,18,523,838.5,karateka action||family||fighting||indie pc||ios||android||playstation 3||xbox 360 dotemu dotemu
Dying Light: Bad Blood,2018,Action,Action||Shooter||RPG,PC,PC||PlayStation 4||Xbox One,Techland Publishing,Techland,3.3,+17,Dying Light: Bad Blood é um jogo de Action lançado em 2018 para PC. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.0495,2,curto,25,266,837.5,dying light: bad blood action||shooter||rpg pc||playstation 4||xbox one techland publishing techland
Carcassonne,2010,Action,Action||Strategy||Board Games||Casual||Family,Nintendo Switch,Nintendo Switch||Android||iOS||macOS||PC||Nintendo DS||Xbox 360,Asmodee Digital,Plug In Digital,3.8,N/A,Carcassonne é um jogo de Action lançado em 2010 para Nintendo Switch. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.0495,0,curto,27,484,838.5,carcassonne action||strategy||board games||casual||family nintendo switch||android||ios||macos||pc||nintendo ds||xbox 360 asmodee digital plug in digital
Splice,2012,Casual,Casual||Indie||Puzzle,PC,PC||macOS||Android||Linux||PlayStation 4||PlayStation 3,Cipher Prime Studios,Cipher Prime Studios,3.3,+10,Splice é um jogo de Casual lançado em 2012 para PC. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.0495,1,curto,46,116,838.5,splice casual||indie||puzzle pc||macos||android||linux||playstation 4||playstation 3 cipher prime studios cipher prime studios
Assault Spy,2018,Action,Action||Indie,PC,PC,NIS America,Wazen,3.8,N/A,Assault Spy é um jogo de Action lançado em 2018 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.0495,1,curto,6,797,838.5,assault spy action||indie pc nis america wazen
Ampu-Tea,2013,Adventure,Adventure||RPG||Simulation||Casual||Indie,PC,PC,Kiss,ProjectorGames,2.0,N/A,Ampu-Tea é um jogo de Adventure lançado em 2013 para PC. Ele possui nota média aproximada de 2.0/5 na base RAWG.,0.0495,3,curto,45,157,837.5,ampu-tea adventure||rpg||simulation||casual||indie pc kiss projectorgames
Sakura Beach 2,2015,Casual,Casual||Indie,Linux,Linux||PC,Winged Cloud,Winged Cloud,3.2,N/A,Sakura Beach 2 é um jogo de Casual lançado em 2015 para Linux. Ele possui nota média aproximada de 3.2/5 na base RAWG.,0.0495,4,curto,12,297,838.5,sakura beach 2 casual||indie linux||pc winged cloud winged cloud
Dungeons - The Dark Lord,2011,RPG,RPG||Strategy||Simulation,PC,PC,Kalypso Media,Realmforge Studios,2.7,N/A,Dungeons - The Dark Lord é um jogo de RPG lançado em 2011 para PC. Ele possui nota média aproximada de 2.7/5 na base RAWG.,0.0495,1,curto,10,478,839.0,dungeons - the dark lord rpg||strategy||simulation pc kalypso media realmforge studios
Life is Feudal: MMO,2017,Action,Action||Adventure||RPG||Simulation||Massively Multiplayer,PC,PC,Bitbox,Bitbox,2.6,N/A,Life is Feudal: MMO é um jogo de Action lançado em 2017 para PC. Ele possui nota média aproximada de 2.6/5 na base RAWG.,0.0495,2,curto,36,394,838.0,life is feudal: mmo action||adventure||rpg||simulation||massively multiplayer pc bitbox bitbox
Project Starship,2016,Action,Action||Casual||Indie,Nintendo Switch,Nintendo Switch||Xbox One||PlayStation 4||PC,New Reality Games,EastAsiaSoft,2.0,LIVRE,Project Starship é um jogo de Action lançado em 2016 para Nintendo Switch. Ele possui nota média aproximada de 2.0/5 na base RAWG.,0.0495,4,curto,19,297,837.5,project starship action||casual||indie nintendo switch||xbox one||playstation 4||pc new reality games eastasiasoft
Knights of Pen and Paper 2,2015,Adventure,Adventure||RPG||Strategy||Simulation||Indie,iOS,iOS||Linux||Android||PC||macOS,Paradox Interactive,Paradox Interactive,3.8,+13,Knights of Pen and Paper 2 é um jogo de Adventure lançado em 2015 para iOS. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.0495,4,curto,48,362,838.5,knights of pen and paper 2 adventure||rpg||strategy||simulation||indie ios||linux||android||pc||macos paradox interactive paradox interactive
Kairo,2013,Adventure,Adventure||Indie,Linux,Linux||PC||macOS,Lupus Studios,Locked Door Puzzle,2.8,N/A,Kairo é um jogo de Adventure lançado em 2013 para Linux. Ele possui nota média aproximada de 2.8/5 na base RAWG.,0.0495,2,curto,39,292,838.0,kairo adventure||indie linux||pc||macos lupus studios locked door puzzle
99Vidas,2016,Action,Action||Arcade||Indie,Linux,Linux||PC||PlayStation 4||macOS||PlayStation 3||Xbox One,Plug In Digital,QUByte Interactive,3.1,N/A,99Vidas é um jogo de Action lançado em 2016 para Linux. Ele possui nota média aproximada de 3.1/5 na base RAWG.,0.0495,2,curto,75,464,838.0,99vidas action||arcade||indie linux||pc||playstation 4||macos||playstation 3||xbox one plug in digital qubyte interactive
Between Me and The Night,2016,Action,Action||Adventure||Indie,PC,PC||macOS,Kiss,RainDance LX,2.4,N/A,Between Me and The Night é um jogo de Action lançado em 2016 para PC. Ele possui nota média aproximada de 2.4/5 na base RAWG.,0.0494,5,curto,23,288,837.0,between me and the night action||adventure||indie pc||macos kiss raindance lx
Allods Online RU,2016,RPG,RPG||Massively Multiplayer,PC,PC,Mail.ru,Mail.ru Games,2.6,N/A,Allods Online RU é um jogo de RPG lançado em 2016 para PC. Ele possui nota média aproximada de 2.6/5 na base RAWG.,0.0494,1,curto,33,580,836.0,allods online ru rpg||massively multiplayer pc mail.ru mail.ru games
Retention,2015,Adventure,Adventure||Casual||Indie,PC,PC,Sometimes You,Sometimes You,1.5,N/A,Retention é um jogo de Adventure lançado em 2015 para PC. Ele possui nota média aproximada de 1.5/5 na base RAWG.,0.0494,3,curto,16,322,836.5,retention adventure||casual||indie pc sometimes you sometimes you
Riptide GP: Renegade,2016,Action,Action||Racing,iOS,iOS||PC||Android||Xbox One||PlayStation 4||Nintendo Switch,Vector Unit,Vector Unit,3.3,+10,Riptide GP: Renegade é um jogo de Action lançado em 2016 para iOS. Ele possui nota média aproximada de 3.3/5 na base RAWG.,0.0494,3,curto,24,645,836.5,riptide gp: renegade action||racing ios||pc||android||xbox one||playstation 4||nintendo switch vector unit vector unit
Phasmophobia,2020,Action,Action||Indie,PC,PC,Kinetic Games,Kinetic Games,3.8,N/A,Phasmophobia é um jogo de Action lançado em 2020 para PC. Ele possui nota média aproximada de 3.8/5 na base RAWG.,0.0494,5,curto,38,158,836.0,phasmophobia action||indie pc kinetic games kinetic games
Mable & The Wood,2019,Action,Action||Adventure||Indie,Nintendo Switch,Nintendo Switch||Xbox One||Linux||PC||macOS,Graffiti Games,Triplevision Games,2.4,LIVRE,Mable & The Wood é um jogo de Action lançado em 2019 para Nintendo Switch. Ele possui nota média aproximada de 2.4/5 na base RAWG.,0.0494,1,curto,14,298,836.0,mable & the wood action||adventure||indie nintendo switch||xbox one||linux||pc||macos graffiti games triplevision games
Infinite Crisis,2015,RPG,RPG||Strategy,PC,PC,Warner Bros. Interactive,Turbine,2.6,N/A,Infinite Crisis é um jogo de RPG lançado em 2015 para PC. Ele possui nota média aproximada de 2.6/5 na base RAWG.,0.0494,1,curto,23,552,836.0,infinite crisis rpg||strategy pc warner bros. interactive turbine
Dreaming Sarah,2014,Adventure,Adventure||Casual||Indie||Puzzle||Platformer,Android,Android||Linux||macOS||PC,Asteristic Game Studio,Asteristic Game Studio,3.1,N/A,Dreaming Sarah é um jogo de Adventure lançado em 2014 para Android. Ele possui nota média aproximada de 3.1/5 na base RAWG.,0.0494,3,curto,30,266,836.0,dreaming sarah adventure||casual||indie||puzzle||platformer android||linux||macos||pc asteristic game studio asteristic game studio
Faery - Legends of Avalon,2010,Action,Action||Adventure||RPG,Xbox One,Xbox One||PC||PlayStation 3||Xbox 360,Focus Home Interactive,Spiders,3.1,+10,Faery - Legends of Avalon é um jogo de Action lançado em 2010 para Xbox One. Ele possui nota média aproximada de 3.1/5 na base RAWG.,0.0494,4,curto,15,617,836.5,faery - legends of avalon action||adventure||rpg xbox one||pc||playstation 3||xbox 360 focus home interactive spiders
Mini Motor Racing EVO,2013,Racing,Racing||Casual||Indie,PC,PC,The Binary Mill,The Binary Mill,3.1,N/A,Mini Motor Racing EVO é um jogo de Racing lançado em 2013 para PC. Ele possui nota média aproximada de 3.1/5 na base RAWG.,0.0494,2,curto,18,434,836.0,mini motor racing evo racing||casual||indie pc the binary mill the binary mill
Global Agenda,2010,RPG,RPG||Massively Multiplayer,PC,PC,Hi-Rez Studios,Hi-Rez Studios,2.2,N/A,Global Agenda é um jogo de RPG lançado em 2010 para PC. Ele possui nota média aproximada de 2.2/5 na base RAWG.,0.0494,4,curto,10,658,836.0,global agenda rpg||massively multiplayer pc hi-rez studios hi-rez studios
Amerzone: The Explorer’s Legacy,2014,Adventure,Adventure||Casual,PC,PC,,Microids,2.8,N/A,Amerzone: The Explorer’s Legacy é um jogo de Adventure lançado em 2014 para PC. Ele possui nota média aproximada de 2.8/5 na base RAWG.,0.0493,1,curto,8,572,835.0,amerzone: the explorer’s legacy adventure||casual pc  microids
Zoria: Age of Shattering,2020,Adventure,Adventure||RPG||Indie,Linux,Linux||PC,Tiny Trinket Games,Tiny Trinket Games,0.0,N/A,Zoria: Age of Shattering é um jogo de Adventure lançado em 2020 para Linux.,0.0493,0,curto,1,830,834.5,zoria: age of shattering adventure||rpg||indie linux||pc tiny trinket games tiny trinket games
Excalibur 2555 A.D.,1997,Action,Action||Shooter,PlayStation,PlayStation||PC,Sir-Tech,Tempest,0.0,N/A,Excalibur 2555 A.D. é um jogo de Action lançado em 1997 para PlayStation.,0.0493,0,curto,2,832,835.5,excalibur 2555 a.d. action||shooter playstation||pc sir-tech tempest
Pac-Man C.E.,2007,Action,Action||Adventure,Xbox One,Xbox One||Xbox 360,Bandai Namco Entertainment,Bandai Namco Entertainment,3.9,LIVRE,Pac-Man C.E. é um jogo de Action lançado em 2007 para Xbox One. Ele possui nota média aproximada de 3.9/5 na base RAWG.,0.0493,0,curto,44,493,834.5,pac-man c.e. action||adventure xbox one||xbox 360 bandai namco entertainment bandai namco entertainment
Guild Wars 2,2012,RPG,RPG||Massively Multiplayer,PC,PC||macOS,NCsoft,ArenaNet,4.1,+13,Guild Wars 2 é um jogo de RPG lançado em 2012 para PC. Ele possui nota média aproximada de 4.1/5 na base RAWG.,0.0493,37,longo,89,647,834.0,guild wars 2 rpg||massively multiplayer pc||macos ncsoft arenanet
Alone in the Dark: The New Nightmare,2001,Action,Action||Adventure,PC,PC||PlayStation 2||Game Boy Color||Dreamcast||PlayStation||PlayStation 3||PSP,THQ Nordic,Sony Interactive Entertainment,3.7,N/A,Alone in the Dark: The New Nightmare é um jogo de Action lançado em 2001 para PC. Ele possui nota média aproximada de 3.7/5 na base RAWG.,0.0493,1,curto,32,585,835.0,alone in the dark: the new nightmare action||adventure pc||playstation 2||game boy color||dreamcast||playstation||playstation 3||psp thq nordic sony interactive entertainment
Command & Conquer: Red Alert,1996,Strategy,Strategy,PC,PC||PlayStation||PlayStation 3||PSP,Virgin Interactive,Sony Interactive Entertainment,4.4,+13,Command & Conquer: Red Alert é um jogo de Strategy lançado em 1996 para PC. Ele possui nota média aproximada de 4.4/5 na base RAWG.,0.0493,47,longo,165,432,834.0,command & conquer: red alert strategy pc||playstation||playstation 3||psp virgin interactive sony interactive entertainment
Guitar Hero: Metallica,2009,Arcade,Arcade,Xbox 360,Xbox 360||PlayStation 3||PlayStation 2||Wii,Activision Blizzard,Neversoft Entertainment,4.2,+13,Guitar Hero: Metallica é um jogo de Arcade lançado em 2009 para Xbox 360. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.0493,1,curto,41,561,835.5,guitar hero: metallica arcade xbox 360||playstation 3||playstation 2||wii activision blizzard neversoft entertainment
Endless Sky,2015,Action,Action||Adventure||RPG||Simulation||Arcade||Casual,iOS,iOS||Linux||PC||macOS,Ketchapp,Ketchapp,2.6,N/A,Endless Sky é um jogo de Action lançado em 2015 para iOS. Ele possui nota média aproximada de 2.6/5 na base RAWG.,0.0493,1,curto,26,330,835.5,endless sky action||adventure||rpg||simulation||arcade||casual ios||linux||pc||macos ketchapp ketchapp
The Pirate: Caribbean Hunt,2016,Action,Action||Adventure||Strategy||Simulation||Indie,macOS,macOS||iOS||Linux||PC,Home Net Games,Home Net Games,2.4,N/A,The Pirate: Caribbean Hunt é um jogo de Action lançado em 2016 para macOS. Ele possui nota média aproximada de 2.4/5 na base RAWG.,0.0493,1,curto,17,517,835.0,the pirate: caribbean hunt action||adventure||strategy||simulation||indie macos||ios||linux||pc home net games home net games
Mortal Kombat 3,1995,Arcade,Arcade||Fighting,Game Boy,Game Boy||PlayStation||SEGA Master System||Game Gear||SNES||Genesis||PC,GT Interactive Software,Midway Games,4.2,N/A,Mortal Kombat 3 é um jogo de Arcade lançado em 1995 para Game Boy. Ele possui nota média aproximada de 4.2/5 na base RAWG.,0.0493,0,curto,153,486,834.5,mortal kombat 3 arcade||fighting game boy||playstation||sega master system||game gear||snes||genesis||pc gt interactive software midway games
"Warhammer 40,000: Gladius - Relics of War",2018,Strategy,Strategy,PC,PC||Linux,Slitherine,Proxy Studios,3.2,N/A,"Warhammer 40,000: Gladius - Relics of War é um jogo de Strategy lançado em 2018 para PC. Ele possui nota média aproximada de 3.2/5 na base RAWG.",0.0493,5,curto,23,360,835.5,"warhammer 40,000: gladius - relics of war strategy pc||linux slitherine proxy studios"
Police Quest Collection,1987,Adventure,Adventure,PC,PC,Activision Blizzard,Sierra,3.1,+17,Police Quest Collection é um jogo de Adventure lançado em 1987 para PC. Ele possui nota média aproximada de 3.1/5 na base RAWG.,0.0493,1,curto,14,347,834.0,police quest collection adventure pc activision blizzard sierra
Hohokum,2014,Arcade,Arcade,PlayStation 3,PlayStation 3||PlayStation 4||PS Vita,Sony Computer Entertainment,Sony Interactive Entertainment,3.0,+10,Hohokum é um jogo de Arcade lançado em 2014 para PlayStation 3. Ele possui nota média aproximada de 3.0/5 na base RAWG.,0.0493,1,curto,94,155,835.5,hohokum arcade playstation 3||playstation 4||ps vita sony computer entertainment sony interactive entertainment
Secret Of Magia,2015,Action,Action||Adventure||RPG||Strategy||Simulation||Sports||Racing||Casual||Indie,PC,PC,EQ Games,Lunatoid,1.9,N/A,Secret Of Magia é um jogo de Action lançado em 2015 para PC. Ele possui nota média aproximada de 1.9/5 na base RAWG.,0.0493,4,curto,23,165,835.5,secret of magia action||adventure||rpg||strategy||simulation||sports||racing||casual||indie pc eq games lunatoid
Gloria Victis,2016,Action,Action||RPG||Massively Multiplayer||Indie,PC,PC,Black Eye Games,Black Eye Games,2.8,N/A,Gloria Victis é um jogo de Action lançado em 2016 para PC. Ele possui nota média aproximada de 2.8/5 na base RAWG.,0.0493,6,medio,9,640,835.5,gloria victis action||rpg||massively multiplayer||indie pc black eye games black eye games
Tokyo Ghoul:re Call to Exist,2019,Action,Action,PlayStation 4,PlayStation 4||PC,Bandai Namco Entertainment,Three Rings,0.0,N/A,Tokyo Ghoul:re Call to Exist é um jogo de Action lançado em 2019 para PlayStation 4.,0.0493,0,curto,1,827,835.0,tokyo ghoul:re call to exist action playstation 4||pc bandai namco entertainment three rings
Red Dead Redemption: Undead Nightmare,2010,Action,Action||Shooter||Adventure,PlayStation 3,PlayStation 3||Xbox 360,Rockstar Games,Rockstar North,4.0,+17,Red Dead Redemption: Undead Nightmare é um jogo de Action lançado em 2010 para PlayStation 3. Ele possui nota média aproximada de 4.0/5 na base RAWG.,0.0492,0,curto,63,647,832.5,red dead redemption: undead nightmare action||shooter||adventure playstation 3||xbox 360 rockstar games rockstar north
